,city_state_country
606,"HIGGANUM, CT, USA"
607,"HADDAM, CT, USA"
608,"Haddam neck, CT, USA"
609,"East lyme, CT, USA"
610,"kensington, CT, USA"
611,"windham, CT, USA"
612,"West Redding, CT, USA"
613,"new Britain, CT, USA"
614,"storrs, CT, USA"
615,"plainfield, CT, USA"
616,"weston, CT, USA"
617,"W Haven, CT, USA"
618,"NORTH HAVEN, CT, USA"
619,"Pequabuck, CT, USA"
620,"brookfield, CT, USA"
621,"burlington, CT, USA"
622,"East HAven, CT, USA"
623,"windsor, CT, USA"
624,"newtown, CT, USA"
625,"Old lyme, CT, USA"
626,"north franklin, CT, USA"
627,"Sprague, CT, USA"
628,"TOlland, CT, USA"
629,"pomfret, CT, USA"
630,"Rockville, CT, USA"
631,"berlin, CT, USA"
632,"east granby, CT, USA"
633,"windsor locks, CT, USA"
634,"SOUTHINGTON, CT, USA"
635,"union, CT, USA"
636,"southbury, CT, USA"
637,"lisbon, CT, USA"
638,"west Suffield, CT, USA"
639,"Grizwold, CT, USA"
640,"FAIRFiELD, CT, USA"
641,"Windsor locks, CT, USA"
642,"OLD LYME, CT, USA"
643,"Pine Meadow, CT, USA"
644,"plainville, CT, USA"
645,"HadLyme, CT, USA"
646,"West hartford, CT, USA"
647,"POMFRET CENTER, CT, USA"
648,"griswold, CT, USA"
649,"Weathersfield, CT, USA"
650,"EASTON, CT, USA"
651,"WINDSOR, CT, USA"
652,"North haven, CT, USA"
653,"seymour, CT, USA"
654,"brooklyn, CT, USA"
655,"Cobalt, CT, USA"
656,"bloomfield, CT, USA"
657,"east hartford, CT, USA"
658,"bridgewater, CT, USA"
659,"torrington, CT, USA"
660,"new Fairfield, CT, USA"
661,"Abington, CT, USA"
662,"NEW BRITAIN, CT, USA"
663,"MANCHESTER, CT, USA"
664,"LITCHFIELD, CT, USA"
665,"vernon, CT, USA"
666,"killingly, CT, USA"
667,"West haven, CT, USA"
668,"Taconic, CT, USA"
669,"BRISTOL, CT, USA"
670,"wethersfield, CT, USA"
671,"Forestville, CT, USA"
672,"mystic, CT, USA"
673,"Lichfield, CT, USA"
674,"Brookfld, CT, USA"
675,"NEWINGTON, CT, USA"
676,"Rocky hill, CT, USA"
677,"greenwich, CT, USA"
678,"PRESTON, CT, USA"
679,"Quaker HIll, CT, USA"
680,"salem, CT, USA"
681,"fairfield, CT, USA"
682,"EAST HAVEN, CT, USA"
683,"WEST HAVEN, CT, USA"
684,"NEW HAVEN, CT, USA"
685,"MILFORD, CT, USA"
686,"HAMDEN, CT, USA"
687,"PLANTSVILLE, CT, USA"
688,"Sandy hook, CT, USA"
689,"barkhamsted, CT, USA"
690,"TORRINGTON, CT, USA"
691,"stratford, CT, USA"
692,"East hartford, CT, USA"
693,"South windsor, CT, USA"
694,"New haven, CT, USA"
695,"North Milford, CT, USA"
696,"Bloomfield Ct, CT, USA"
697,"New Britian, CT, USA"
698,"Stratford Ct, CT, USA"
699,"FAIRFIELD, CT, USA"
700,"EAST HARTFORD, CT, USA"
701,"BRIDGEPORT, CT, USA"
702,"BRANFORD, CT, USA"
703,"New london, CT, USA"
704,"East haven, CT, USA"
705,"NAUGATUCK, CT, USA"
706,"East Berlin Ct, CT, USA"
707,"Botsford, CT, USA"
708,"hartford, CT, USA"
709,"Orange Ct, CT, USA"
710,"First Bridgeport, CT, USA"
711,"MERIDEN, CT, USA"
712,"South Norwalk, CT, USA"
713,"SOMERS, CT, USA"
714,"WATERBURY, CT, USA"
715,"COLCHESTER, CT, USA"
716,"Thornaston, CT, USA"
717,"ELLINGTON, CT, USA"
718,"Newton, CT, USA"
719,"MIDDLETOWN, CT, USA"
720,"BROAD BROOK, CT, USA"
721,"GUILFORD, CT, USA"
722,"ENFIELD, CT, USA"
723,"WETHERSFIELD, CT, USA"
724,"SIMSBURY, CT, USA"
725,"WATERFORD, CT, USA"
726,"N Branford, CT, USA"
727,"Bridgetport, CT, USA"
728,"colebrook, CT, USA"
729,"Seymomur, CT, USA"
730,"watertown, CT, USA"
731,"MANSFIELD, CT, USA"
732,"WOODSTOCK, CT, USA"
733,"Farmigton, CT, USA"
734,"WINDHAM, CT, USA"
735,"STRATFORD, CT, USA"
736,"ANSONIA, CT, USA"
737,"WILLIMANTIC, CT, USA"
738,"East A Hartford, CT, USA"
739,"MONROE, CT, USA"
740,"Rockyhill, CT, USA"
741,"Greewich, CT, USA"
742,"TERRYVILLE, CT, USA"
743,"Guillford, CT, USA"
744,"Storrs-Mansfield, CT, USA"
745,"New Britain Ct, CT, USA"
746,"Norwallk, CT, USA"
747,"Nowalk, CT, USA"
748,"SANDY HOOK, CT, USA"
749,"ORANGE, CT, USA"
750,"NORTH WINDHAM, CT, USA"
751,"granby, CT, USA"
752,"Nagatuck, CT, USA"
753,"PLAINVILLE, CT, USA"
754,"Miford, CT, USA"
755,"COS COB, CT, USA"
756,"Willimatic, CT, USA"
757,"STONINGTON, CT, USA"
758,"Willington,, CT, USA"
759,"WIllimantic, CT, USA"
760,"danielson, CT, USA"
761,"NORWALK, CT, USA"
762,"ROCKY HILL, CT, USA"
763,"STAMFORD, CT, USA"
764,"CHESHIRE, CT, USA"
765,"Straford, CT, USA"
766,"GRISWOLD, CT, USA"
767,"RIVERSIDE, CT, USA"
768,"Bloomfield Court, CT, USA"
769,"Rockville,, CT, USA"
770,"NORTH BRANFORD, CT, USA"
771,"Vernon,, CT, USA"
772,"Plainfield,, CT, USA"
773,"WILTON, CT, USA"
774,"North Grosvenor Dale, CT, USA"
